CMS1_Pval	CMS2_Pval	CMS3_Pval	CMS4_Pval	CMS	min_Pval	classifier
petacc.PETACC3-0596	0.816681869	0.937285903	0.000854701	1	CMS3	0.000854701	CMS3
petacc.PETACC3-0411	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
petacc.PETACC3-0284	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
petacc.PETACC3-0546	0.011070572	1	0.204273504	1	CMS1	0.011070572	CMS1
petacc.PETACC3-0501	0.011070572	1	0.204273504	1	CMS1	0.011070572	CMS1
petacc.PETACC3-0641	0.816681869	0.937285903	0.000854701	1	CMS3	0.000854701	CMS3
petacc.PETACC3-0477	0.816681869	0.937285903	0.000854701	1	CMS3	0.000854701	CMS3
petacc.PETACC3-0287	0.816681869	0.007945678	1	1	CMS2	0.007945678	CMS2
petacc.PETACC3-0300	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0437	0.404216074	1	0.658974359	0.227445019	NA	0.227445019	NOLBL
petacc.PETACC3-0599	0.816681869	0.937285903	0.658974359	0.227445019	NA	0.227445019	NOLBL
petacc.PETACC3-0351	0.816681869	0.937285903	0.000854701	1	CMS3	0.000854701	CMS3
petacc.PETACC3-0038	1	1	0.658974359	0.003689065	CMS4	0.003689065	CMS4
petacc.PETACC3-0288	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0451	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
petacc.PETACC3-0349	1	0.937285903	0.000854701	0.908340934	CMS3	0.000854701	CMS3
petacc.PETACC3-0557	0.100932401	1	1	0.227445019	NA	0.100932401	NOLBL
petacc.PETACC3-0276	0.816681869	0.937285903	0.024786325	0.908340934	CMS3	0.024786325	CMS3
petacc.PETACC3-0204	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0476	0.100932401	1	0.024786325	1	CMS3	0.024786325	CMS3
petacc.PETACC3-0485	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0028	1	0.67678119	0.000854701	1	CMS3	0.000854701	CMS3
petacc.PETACC3-0490	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0545	0.100932401	1	0.204273504	0.908340934	NA	0.100932401	NOLBL
petacc.PETACC3-0270	0.100932401	1	0.024786325	1	CMS3	0.024786325	CMS3
petacc.PETACC3-0396	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0095	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0103	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
petacc.PETACC3-0643	1	0.3046316	1	0.227445019	NA	0.227445019	NOLBL
petacc.PETACC3-0326	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
petacc.PETACC3-0129	3.37826424782947e-06	1	1	1	CMS1	3.37826424782947e-06	CMS1
petacc.PETACC3-0592	1	0.67678119	0.000854701	1	CMS3	0.000854701	CMS3
petacc.PETACC3-0569	0.816681869	0.007945678	1	1	CMS2	0.007945678	CMS2
petacc.PETACC3-0647	0.404216074	1	0.024786325	0.908340934	CMS3	0.024786325	CMS3
petacc.PETACC3-0500	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
petacc.PETACC3-0663	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0424	1	0.67678119	0.000854701	1	CMS3	0.000854701	CMS3
petacc.PETACC3-0179	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
petacc.PETACC3-0168	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
petacc.PETACC3-0390	0.100932401	1	0.024786325	1	CMS3	0.024786325	CMS3
petacc.PETACC3-0228	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
petacc.PETACC3-0177	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
petacc.PETACC3-0286	0.100932401	1	0.658974359	0.594081281	NA	0.100932401	NOLBL
petacc.PETACC3-0195	1	0.937285903	1	0.003689065	CMS4	0.003689065	CMS4
petacc.PETACC3-0367	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0373	0.816681869	0.937285903	0.000854701	1	CMS3	0.000854701	CMS3
petacc.PETACC3-0509	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0675	1	0.67678119	0.204273504	0.594081281	NA	0.204273504	NOLBL
petacc.PETACC3-0543	1	0.3046316	0.024786325	1	CMS3	0.024786325	CMS3
petacc.PETACC3-0379	1	0.937285903	1	0.003689065	CMS4	0.003689065	CMS4
petacc.PETACC3-0008	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
petacc.PETACC3-0409	1	0.67678119	0.024786325	0.908340934	CMS3	0.024786325	CMS3
petacc.PETACC3-0470	1	0.073071856	0.204273504	1	NA	0.073071856	NOLBL
petacc.PETACC3-0510	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0301	0.404216074	0.937285903	0.204273504	0.908340934	NA	0.204273504	NOLBL
petacc.PETACC3-0152	0.816681869	1	1	0.003689065	CMS4	0.003689065	CMS4
petacc.PETACC3-0407	0.816681869	1	1	0.003689065	CMS4	0.003689065	CMS4
petacc.PETACC3-0064	0.816681869	0.073071856	0.658974359	1	NA	0.073071856	NOLBL
petacc.PETACC3-0277	0.816681869	1	1	0.003689065	CMS4	0.003689065	CMS4
petacc.PETACC3-0627	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
petacc.PETACC3-0160	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
petacc.PETACC3-0281	1	0.3046316	0.658974359	0.594081281	NA	0.3046316	NOLBL
petacc.PETACC3-0261	0.011070572	1	0.204273504	1	CMS1	0.011070572	CMS1
petacc.PETACC3-0105	1	0.67678119	0.024786325	0.908340934	CMS3	0.024786325	CMS3
petacc.PETACC3-0275	1	0.3046316	1	0.227445019	NA	0.227445019	NOLBL
petacc.PETACC3-0151	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
petacc.PETACC3-0531	1	0.3046316	0.024786325	1	CMS3	0.024786325	CMS3
petacc.PETACC3-0388	0.100932401	0.937285903	0.204273504	1	NA	0.100932401	NOLBL
petacc.PETACC3-0182	0.816681869	0.073071856	1	0.908340934	NA	0.073071856	NOLBL
petacc.PETACC3-0668	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0573	0.011070572	1	1	0.594081281	CMS1	0.011070572	CMS1
petacc.PETACC3-0454	0.404216074	0.67678119	0.204273504	1	NA	0.204273504	NOLBL
petacc.PETACC3-0200	1	0.3046316	0.024786325	1	CMS3	0.024786325	CMS3
petacc.PETACC3-0632	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0467	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0392	1	0.67678119	0.000854701	1	CMS3	0.000854701	CMS3
petacc.PETACC3-0159	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
petacc.PETACC3-0188	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
petacc.PETACC3-0118	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
petacc.PETACC3-0023	1	0.007945678	0.658974359	1	CMS2	0.007945678	CMS2
petacc.PETACC3-0347	0.816681869	0.937285903	0.204273504	0.594081281	NA	0.204273504	NOLBL
petacc.PETACC3-0307	0.100932401	1	0.658974359	0.594081281	NA	0.100932401	NOLBL
petacc.PETACC3-0271	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0393	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0642	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
petacc.PETACC3-0331	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0212	0.404216074	1	1	0.044126888	CMS4	0.044126888	CMS4
petacc.PETACC3-0445	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0449	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0399	1	0.007945678	0.658974359	1	CMS2	0.007945678	CMS2
petacc.PETACC3-0463	1	0.937285903	0.000854701	0.908340934	CMS3	0.000854701	CMS3
petacc.PETACC3-0364	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
petacc.PETACC3-0552	1	0.073071856	0.204273504	1	NA	0.073071856	NOLBL
petacc.PETACC3-0032	0.816681869	0.67678119	1	0.227445019	NA	0.227445019	NOLBL
petacc.PETACC3-0302	1	0.073071856	1	0.594081281	NA	0.073071856	NOLBL
petacc.PETACC3-0138	0.100932401	1	0.658974359	0.594081281	NA	0.100932401	NOLBL
petacc.PETACC3-0348	1	0.67678119	0.204273504	0.594081281	NA	0.204273504	NOLBL
petacc.PETACC3-0387	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
petacc.PETACC3-0382	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0043	0.404216074	0.937285903	0.024786325	1	CMS3	0.024786325	CMS3
petacc.PETACC3-0669	0.100932401	1	0.024786325	1	CMS3	0.024786325	CMS3
petacc.PETACC3-0533	0.404216074	1	0.024786325	0.908340934	CMS3	0.024786325	CMS3
petacc.PETACC3-0055	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0565	1	0.073071856	1	0.594081281	NA	0.073071856	NOLBL
petacc.PETACC3-0567	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
petacc.PETACC3-0419	1	0.007945678	1	0.908340934	CMS2	0.007945678	NOLBL
petacc.PETACC3-0135	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
petacc.PETACC3-0071	0.011070572	0.937285903	0.658974359	1	CMS1	0.011070572	CMS1
petacc.PETACC3-0299	0.100932401	1	1	0.227445019	NA	0.100932401	NOLBL
petacc.PETACC3-0598	0.816681869	0.007945678	1	1	CMS2	0.007945678	CMS2
petacc.PETACC3-0128	1	0.3046316	1	0.227445019	NA	0.227445019	NOLBL
petacc.PETACC3-0570	0.816681869	0.937285903	0.000854701	1	CMS3	0.000854701	CMS3
petacc.PETACC3-0584	0.816681869	0.67678119	0.024786325	1	CMS3	0.024786325	CMS3
petacc.PETACC3-0342	0.011070572	1	1	0.594081281	CMS1	0.011070572	CMS1
petacc.PETACC3-0269	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0274	0.816681869	1	1	0.003689065	CMS4	0.003689065	CMS4
petacc.PETACC3-0219	3.37826424782947e-06	1	1	1	CMS1	3.37826424782947e-06	CMS1
petacc.PETACC3-0156	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
petacc.PETACC3-0308	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0061	0.816681869	0.937285903	0.658974359	0.227445019	NA	0.227445019	NOLBL
petacc.PETACC3-0136	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0048	0.816681869	0.007945678	1	1	CMS2	0.007945678	CMS2
petacc.PETACC3-0109	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0208	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
petacc.PETACC3-0503	0.100932401	1	0.658974359	0.594081281	NA	0.100932401	NOLBL
petacc.PETACC3-0607	0.011070572	1	1	0.594081281	CMS1	0.011070572	CMS1
petacc.PETACC3-0318	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0522	0.404216074	0.937285903	0.658974359	0.594081281	NA	0.404216074	NOLBL
petacc.PETACC3-0493	0.816681869	0.3046316	1	0.594081281	NA	0.3046316	NOLBL
petacc.PETACC3-0394	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0191	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
petacc.PETACC3-0389	0.100932401	0.3046316	1	1	NA	0.100932401	NOLBL
petacc.PETACC3-0330	0.816681869	0.007945678	1	1	CMS2	0.007945678	CMS2
petacc.PETACC3-0513	1	0.937285903	1	0.003689065	CMS4	0.003689065	CMS4
petacc.PETACC3-0233	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
petacc.PETACC3-0530	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
petacc.PETACC3-0450	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0205	0.816681869	0.007945678	1	1	CMS2	0.007945678	CMS2
petacc.PETACC3-0155	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0260	0.816681869	1	0.658974359	0.044126888	CMS4	0.044126888	CMS4
petacc.PETACC3-0057	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
petacc.PETACC3-0019	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
petacc.PETACC3-0192	1	0.073071856	1	0.594081281	NA	0.073071856	NOLBL
petacc.PETACC3-0076	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
petacc.PETACC3-0453	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0645	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
petacc.PETACC3-0312	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0272	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0321	0.816681869	1	1	0.003689065	CMS4	0.003689065	CMS4
petacc.PETACC3-0102	1	0.073071856	0.204273504	1	NA	0.073071856	NOLBL
petacc.PETACC3-0121	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
petacc.PETACC3-0115	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0577	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
petacc.PETACC3-0110	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
petacc.PETACC3-0506	0.816681869	0.073071856	0.658974359	1	NA	0.073071856	NOLBL
petacc.PETACC3-0077	0.100932401	1	1	0.227445019	NA	0.100932401	NOLBL
petacc.PETACC3-0099	1	0.007945678	1	0.908340934	CMS2	0.007945678	NOLBL
petacc.PETACC3-0009	1	0.007945678	1	0.908340934	CMS2	0.007945678	NOLBL
petacc.PETACC3-0157	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
petacc.PETACC3-0496	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0309	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0087	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0516	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0571	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0097	1	0.073071856	1	0.594081281	NA	0.073071856	NOLBL
petacc.PETACC3-0612	0.404216074	0.3046316	0.658974359	1	NA	0.3046316	NOLBL
petacc.PETACC3-0575	0.100932401	0.3046316	1	1	NA	0.100932401	CMS1
petacc.PETACC3-0622	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0150	0.404216074	1	0.000854701	1	CMS3	0.000854701	CMS3
petacc.PETACC3-0563	0.404216074	1	0.204273504	0.594081281	NA	0.204273504	NOLBL
petacc.PETACC3-0262	3.37826424782947e-06	1	1	1	CMS1	3.37826424782947e-06	CMS1
petacc.PETACC3-0605	0.816681869	1	1	0.003689065	CMS4	0.003689065	CMS4
petacc.PETACC3-0562	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0116	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
petacc.PETACC3-0018	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0590	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0604	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0489	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0253	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
petacc.PETACC3-0617	0.011070572	1	1	0.594081281	CMS1	0.011070572	CMS1
petacc.PETACC3-0355	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0297	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
petacc.PETACC3-0397	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
petacc.PETACC3-0056	1	0.3046316	1	0.227445019	NA	0.227445019	CMS4
petacc.PETACC3-0608	1	0.073071856	0.204273504	1	NA	0.073071856	NOLBL
petacc.PETACC3-0328	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0507	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
petacc.PETACC3-0029	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0119	0.404216074	1	0.000854701	1	CMS3	0.000854701	CMS3
petacc.PETACC3-0139	0.404216074	1	0.000854701	1	CMS3	0.000854701	CMS3
petacc.PETACC3-0075	1	0.67678119	0.000854701	1	CMS3	0.000854701	CMS3
petacc.PETACC3-0372	1	0.3046316	1	0.227445019	NA	0.227445019	NOLBL
petacc.PETACC3-0117	0.011070572	0.937285903	1	0.908340934	CMS1	0.011070572	CMS1
petacc.PETACC3-0306	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0615	0.404216074	0.937285903	1	0.227445019	NA	0.227445019	NOLBL
petacc.PETACC3-0238	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
petacc.PETACC3-0315	3.37826424782947e-06	1	1	1	CMS1	3.37826424782947e-06	CMS1
petacc.PETACC3-0452	0.816681869	0.67678119	0.024786325	1	CMS3	0.024786325	CMS3
petacc.PETACC3-0164	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
petacc.PETACC3-0221	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0443	1	0.073071856	0.658974359	0.908340934	NA	0.073071856	NOLBL
petacc.PETACC3-0672	1	0.073071856	1	0.594081281	NA	0.073071856	NOLBL
petacc.PETACC3-0273	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
petacc.PETACC3-0652	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
petacc.PETACC3-0595	1	0.073071856	0.658974359	0.908340934	NA	0.073071856	NOLBL
petacc.PETACC3-0329	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
petacc.PETACC3-0169	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
petacc.PETACC3-0655	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
petacc.PETACC3-0583	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
petacc.PETACC3-0052	0.00042904	1	1	0.908340934	CMS1	0.00042904	CMS1
petacc.PETACC3-0265	3.37826424782947e-06	1	1	1	CMS1	3.37826424782947e-06	CMS1
petacc.PETACC3-0222	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0667	0.816681869	1	1	0.003689065	CMS4	0.003689065	CMS4
petacc.PETACC3-0239	1	0.073071856	0.204273504	1	NA	0.073071856	NOLBL
petacc.PETACC3-0183	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
petacc.PETACC3-0455	1	0.937285903	1	0.003689065	CMS4	0.003689065	CMS4
petacc.PETACC3-0504	1	0.937285903	0.000854701	0.908340934	CMS3	0.000854701	CMS3
petacc.PETACC3-0324	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0194	1	0.3046316	1	0.227445019	NA	0.227445019	NOLBL
petacc.PETACC3-0547	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0170	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
petacc.PETACC3-0515	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
petacc.PETACC3-0408	1	0.3046316	0.204273504	0.908340934	NA	0.204273504	NOLBL
petacc.PETACC3-0037	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
petacc.PETACC3-0327	0.816681869	0.67678119	0.024786325	1	CMS3	0.024786325	CMS3
petacc.PETACC3-0591	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
petacc.PETACC3-0650	0.100932401	1	0.024786325	1	CMS3	0.024786325	CMS3
petacc.PETACC3-0354	1	0.073071856	1	0.594081281	NA	0.073071856	NOLBL
petacc.PETACC3-0323	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
petacc.PETACC3-0498	1	0.937285903	0.658974359	0.044126888	CMS4	0.044126888	CMS4
petacc.PETACC3-0305	0.404216074	0.67678119	1	0.594081281	NA	0.404216074	NOLBL
petacc.PETACC3-0459	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
petacc.PETACC3-0578	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
petacc.PETACC3-0474	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
petacc.PETACC3-0066	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
petacc.PETACC3-0400	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0410	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
petacc.PETACC3-0154	0.011070572	1	1	0.594081281	CMS1	0.011070572	CMS1
petacc.PETACC3-0153	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
petacc.PETACC3-0325	0.816681869	0.937285903	0.000854701	1	CMS3	0.000854701	CMS3
petacc.PETACC3-0458	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0685	1	0.073071856	1	0.594081281	NA	0.073071856	CMS2
petacc.PETACC3-0235	1	0.073071856	1	0.594081281	NA	0.073071856	NOLBL
petacc.PETACC3-0555	0.100932401	1	0.024786325	1	CMS3	0.024786325	CMS3
petacc.PETACC3-0464	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
petacc.PETACC3-0319	0.100932401	1	0.204273504	0.908340934	NA	0.100932401	CMS3
petacc.PETACC3-0572	0.011070572	1	0.204273504	1	CMS1	0.011070572	CMS1
petacc.PETACC3-0120	1	0.937285903	1	0.003689065	CMS4	0.003689065	CMS4
petacc.PETACC3-0654	3.37826424782947e-06	1	1	1	CMS1	3.37826424782947e-06	CMS1
petacc.PETACC3-0356	1	0.073071856	1	0.594081281	NA	0.073071856	NOLBL
petacc.PETACC3-0332	0.00042904	1	1	0.908340934	CMS1	0.00042904	CMS1
petacc.PETACC3-0674	1	0.073071856	0.658974359	0.908340934	NA	0.073071856	NOLBL
petacc.PETACC3-0537	1	0.937285903	1	0.003689065	CMS4	0.003689065	CMS4
petacc.PETACC3-0250	1	0.073071856	1	0.594081281	NA	0.073071856	NOLBL
petacc.PETACC3-0246	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
petacc.PETACC3-0320	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0249	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0086	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
petacc.PETACC3-0104	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
petacc.PETACC3-0113	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
petacc.PETACC3-0216	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
petacc.PETACC3-0213	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
petacc.PETACC3-0237	0.816681869	0.007945678	1	1	CMS2	0.007945678	NOLBL
petacc.PETACC3-0241	0.816681869	0.007945678	1	1	CMS2	0.007945678	CMS2
petacc.PETACC3-0242	0.816681869	0.007945678	1	1	CMS2	0.007945678	CMS2
petacc.PETACC3-0232	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0033	1	0.007945678	0.658974359	1	CMS2	0.007945678	CMS2
petacc.PETACC3-0034	1	0.3046316	0.024786325	1	CMS3	0.024786325	CMS3
petacc.PETACC3-0035	0.100932401	1	0.658974359	0.594081281	NA	0.100932401	NOLBL
petacc.PETACC3-0073	1	0.67678119	0.000854701	1	CMS3	0.000854701	CMS3
petacc.PETACC3-0486	0.816681869	0.007945678	1	1	CMS2	0.007945678	CMS2
petacc.PETACC3-0597	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0252	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0254	0.816681869	0.67678119	1	0.227445019	NA	0.227445019	NOLBL
petacc.PETACC3-0255	1	0.3046316	0.204273504	0.908340934	NA	0.204273504	CMS3
petacc.PETACC3-0278	0.816681869	1	1	0.003689065	CMS4	0.003689065	CMS4
petacc.PETACC3-0279	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0289	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
petacc.PETACC3-0290	1	0.937285903	1	0.003689065	CMS4	0.003689065	CMS4
petacc.PETACC3-0676	1	0.007945678	1	0.908340934	CMS2	0.007945678	NOLBL
petacc.PETACC3-0158	1	0.3046316	0.024786325	1	CMS3	0.024786325	CMS3
petacc.PETACC3-0497	0.404216074	0.67678119	0.204273504	1	NA	0.204273504	NOLBL
petacc.PETACC3-0196	1	0.073071856	0.204273504	1	NA	0.073071856	NOLBL
petacc.PETACC3-0395	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
petacc.PETACC3-0337	0.011070572	1	0.204273504	1	CMS1	0.011070572	CMS1
petacc.PETACC3-0511	0.816681869	0.67678119	0.658974359	0.594081281	NA	0.594081281	NOLBL
petacc.PETACC3-0549	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
petacc.PETACC3-0550	1	0.073071856	0.204273504	1	NA	0.073071856	NOLBL
petacc.PETACC3-0551	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0588	0.816681869	0.937285903	0.204273504	0.594081281	NA	0.204273504	NOLBL
petacc.PETACC3-0380	1	0.000283774	1	1	CMS2	0.000283774	NOLBL
petacc.PETACC3-0381	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0600	1	0.3046316	0.658974359	0.594081281	NA	0.3046316	NOLBL
petacc.PETACC3-0508	0.404216074	1	0.000854701	1	CMS3	0.000854701	CMS3
petacc.PETACC3-0140	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0362	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0368	1	1	0.000854701	0.594081281	CMS3	0.000854701	CMS3
petacc.PETACC3-0226	1	0.937285903	0.658974359	0.044126888	CMS4	0.044126888	CMS4
petacc.PETACC3-0187	1	0.67678119	0.024786325	0.908340934	CMS3	0.024786325	CMS3
petacc.PETACC3-0047	0.404216074	1	0.000854701	1	CMS3	0.000854701	CMS3
petacc.PETACC3-0548	0.404216074	1	1	0.044126888	CMS4	0.044126888	CMS4
petacc.PETACC3-0553	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0554	0.404216074	1	0.000854701	1	CMS3	0.000854701	CMS3
petacc.PETACC3-0532	0.816681869	0.3046316	1	0.594081281	NA	0.3046316	NOLBL
petacc.PETACC3-0678	0.816681869	1	1	0.003689065	CMS4	0.003689065	CMS4
petacc.PETACC3-0487	1	0.000283774	1	1	CMS2	0.000283774	CMS2
petacc.PETACC3-0499	1	0.000283774	1	1	CMS2	0.000283774	CMS2
